item_id,name,width_cm,depth_cm,height_cm,mass_kg,priority,expiry_date,usage_limit,preferred_zone
000042,Gyroscope_Module,17.8,24.6,21.6,4.73,21,N/A,2505,Cockpit
000043,First_Aid_Kit,13.3,13.4,13.1,7.6,10,N/A,42,Medical_Bay
000044,Protein_Bars,49.3,16.9,46.4,19.33,48,N/A,1716,Storage_Bay
000045,First_Aid_Kit,18.0,20.7,29.1,4.1,69,N/A,1,Crew_Quarters
000046,Cooling_System,31.0,16.3,30.1,7.6,79,N/A,584,Engineering_Bay
000047,Scientific_Sensor,26.8,32.4,36.2,15.72,32,N/A,438,Lab
000048,Research_Samples,15.6,17.3,17.6,3.4,72,N/A,3027,Lab
000049,First_Aid_Kit,12.3,16.4,29.1,4.8,95,N/A,100,Crew_Quarters
000050,Microgravity_Lab_Kit,12.1,18.4,28.8,8.5,1,N/A,65,Lab
000051,Tool_Kit,20.4,17.7,10.5,3.9,25,N/A,37,Maintenance_Bay
000052,Emergency_Beacon,13.9,37.8,39.9,10.48,43,N/A,484,Cockpit
000053,Gyroscope_Module,10.2,46.8,37.0,8.83,6,N/A,4978,Engineering_Bay
000054,Microgravity_Lab_Kit,20.0,20.8,12.3,2.6,60,N/A,90,Crew_Quarters
000055,Vacuum_Sealed_Tools,38.6,14.0,23.6,6.38,92,N/A,1933,Maintenance_Bay
000056,CO2_Scrubber,18.4,34.1,39.1,12.27,9,N/A,103,Engineering_Bay
000057,CO2_Scrubber,48.5,18.6,47.8,21.56,75,N/A,225,Engineering_Bay
000058,Radiation_Shield,18.7,16.1,44.3,6.67,25,N/A,3447,Engineering_Bay
000059,Protein_Bars,21.4,18.5,18.5,3.66,22,N/A,2292,Crew_Quarters
000060,Battery_Pack,10.1,14.9,36.2,2.72,17,N/A,923,Power_Bay
000061,Handheld_Spectrometer,10.5,22.0,29.0,3.35,68,N/A,3617,Lab
000062,Seed_Packets,28.8,25.6,15.2,8.9,22,N/A,98,Greenhouse
000063,Tool_Kit,18.6,10.1,14.0,3.5,8,N/A,67,Storage_Bay
000064,Handheld_Spectrometer,22.6,29.3,20.7,6.85,51,N/A,4094,Lab
000065,Emergency_Oxygen_Mask,27.5,20.4,12.9,3.62,42,N/A,3602,Crew_Quarters
000066,CO2_Scrubber,12.7,44.3,49.0,13.78,69,N/A,260,Life_Support
000067,Emergency_Beacon,43.9,28.7,17.3,10.9,63,N/A,370,Command_Center
000068,Protein_Bars,33.1,41.5,39.1,26.85,80,N/A,1164,Storage_Bay
000069,Thruster_Fuel,35.6,31.0,43.3,23.89,42,N/A,2033,Storage_Bay
000070,Seed_Packets,24.2,29.2,26.3,3.2,28,N/A,35,Greenhouse
000071,Vacuum_Sealed_Tools,48.3,44.6,30.8,33.17,42,N/A,2948,Storage_Bay
000072,Asteroid_Sample_Container,17.0,18.9,25.3,3.8,84,N/A,3085,Storage_Bay
000073,Space_Suit,17.3,16.8,15.8,2.3,21,N/A,3619,Storage_Bay
000074,Circuit_Board,12.3,12.4,27.2,2.07,83,N/A,2628,Storage_Bay
000075,Handheld_Spectrometer,28.0,12.8,45.5,8.15,18,N/A,1216,Lab
000076,Water_Bottle,20.1,10.4,11.9,1.24,7,N/A,3953,Crew_Quarters
000077,Vacuum_Sealed_Tools,19.6,11.2,11.7,1.28,55,N/A,512,Storage_Bay
000078,Seed_Packets,23.2,21.9,22.9,9.0,59,N/A,8,Lab
000079,Seed_Packets,11.9,13.6,28.4,3.7,52,N/A,14,Lab
000080,Vacuum_Sealed_Tools,33.4,21.7,48.3,17.5,72,N/A,1575,Maintenance_Bay
000081,Medical_Scanner,12.3,33.4,40.3,8.28,61,2026-08-12,12,Medical_Bay
000082,CO2_Scrubber,14.1,22.5,45.5,7.22,64,N/A,714,Life_Support
000083,Vacuum_Sealed_Tools,38.8,44.8,23.0,19.99,84,N/A,3838,Storage_Bay
000084,First_Aid_Kit,27.9,11.5,20.2,4.7,18,N/A,6,Medical_Bay
000085,Battery_Pack,31.9,24.0,23.3,8.92,60,N/A,685,External_Storage
000086,EV_Suit_Battery,26.6,36.0,46.8,22.41,42,N/A,330,Storage_Bay
000087,CO2_Scrubber,46.4,14.2,15.6,5.14,40,N/A,812,Life_Support
000088,EV_Suit_Battery,30.3,41.2,35.1,21.91,88,N/A,378,Storage_Bay
000089,Oxygen_Cylinder,29.3,15.5,71.9,19.0,96,N/A,2000,Airlock
000090,Gyroscope_Module,38.3,17.7,17.5,5.93,76,N/A,2075,Cockpit
000091,Pressure_Regulator,43.7,16.8,46.9,17.22,56,N/A,4769,Airlock
000092,Vacuum_Sealed_Tools,48.7,21.7,36.7,19.39,64,N/A,4955,Storage_Bay
000093,Antibiotic_Supply,35.3,12.2,41.9,9.02,45,2025-06-20,4435,Medical_Bay
000094,Pressure_Regulator,47.7,27.9,40.0,26.62,63,N/A,2898,Airlock
000095,Laptop,33.9,24.1,40.1,16.38,63,N/A,3587,Crew_Quarters
000096,Cooling_System,49.6,42.9,44.0,46.81,3,N/A,1987,Power_Bay
000097,Laptop,16.4,41.9,40.9,14.05,56,N/A,2527,Command_Center
000098,Emergency_Beacon,30.7,48.4,39.4,29.27,42,N/A,2141,Cockpit
000099,Navigation_Module,18.9,43.4,44.5,18.25,34,N/A,161,Command_Center
000100,CO2_Scrubber,19.3,35.3,36.9,12.57,35,N/A,200,Engineering_Bay
000101,Oxygen_Cylinder,25.3,29.4,60.3,28.7,34,N/A,1398,Airlock
000102,Handheld_Spectrometer,38.4,45.6,35.8,31.34,92,N/A,616,Lab
000103,Lab_Microscope,46.7,18.3,22.3,9.53,35,N/A,4681,Lab
000104,Fire_Extinguisher,14.4,16.1,13.0,1.51,41,N/A,2301,Engineering_Bay
000105,Microgravity_Lab_Kit,16.5,25.9,22.3,3.8,100,N/A,43,Lab
000106,Laptop,47.1,35.1,24.9,20.58,11,N/A,4188,Command_Center
000107,Solar_Panel,82.7,67.3,4.0,10.6,78,N/A,1942,Power_Bay
000108,Emergency_Oxygen_Mask,26.9,25.6,17.6,6.06,82,N/A,286,Crew_Quarters
000109,Helmet_Visor,28.1,14.6,30.7,6.3,13,N/A,2862,Crew_Quarters
000110,Lab_Microscope,11.5,31.0,14.1,2.51,53,N/A,664,Medical_Bay
000111,LED_Work_Light,19.3,13.0,48.1,6.03,69,N/A,4936,Maintenance_Bay
000112,Gyroscope_Module,27.7,17.9,31.4,7.78,23,N/A,4548,Engineering_Bay
000113,Emergency_Beacon,31.3,49.7,45.3,35.23,48,N/A,4399,Command_Center
000114,Gyroscope_Module,19.9,14.3,30.0,4.27,28,N/A,3448,Engineering_Bay
000115,Cooling_System,50.0,24.7,43.3,26.74,58,N/A,4814,Engineering_Bay
000116,Space_Suit,24.3,48.4,18.9,11.11,20,N/A,4825,Airlock
000117,Water_Purification_Unit,23.3,31.7,39.1,14.44,26,N/A,4799,Crew_Quarters
000118,Handheld_Spectrometer,15.4,35.4,32.7,8.91,3,N/A,2855,Engineering_Bay
000119,Pressure_Regulator,47.1,13.6,48.6,15.57,95,N/A,3414,Engineering_Bay
000120,Space_Suit,28.2,41.9,40.4,23.87,11,N/A,3724,Storage_Bay
000121,Cooling_System,37.9,15.2,43.0,12.39,17,N/A,4596,Power_Bay
000122,Water_Purification_Unit,41.1,28.0,47.1,27.1,90,N/A,773,Life_Support
000123,Laptop,19.0,10.8,25.2,2.59,6,N/A,2174,Command_Center
000124,Research_Samples,22.9,13.1,11.8,8.2,14,N/A,2531,Storage_Bay
000125,Microgravity_Lab_Kit,13.1,29.3,28.5,2.9,62,N/A,22,Lab
000126,Oxygen_Cylinder,18.8,19.9,48.0,46.7,63,N/A,3201,Crew_Quarters
000127,Vacuum_Sealed_Tools,43.6,18.8,38.8,15.9,37,N/A,2548,Maintenance_Bay
000128,Water_Bottle,25.0,11.6,21.1,3.06,33,N/A,2196,Storage_Bay
000129,Space_Suit,43.6,49.2,12.4,13.3,13,N/A,430,Airlock
000130,Protein_Bars,34.2,37.5,22.7,14.56,18,N/A,541,Storage_Bay
000131,Water_Bottle,21.6,29.6,37.4,11.96,67,N/A,4611,Storage_Bay
000132,Solar_Panel,47.3,83.6,1.3,8.6,56,N/A,2946,Power_Bay
000133,Cooling_System,26.4,12.1,49.3,7.87,95,N/A,505,Engineering_Bay
000134,Protein_Bars,15.5,13.0,12.7,1.28,100,N/A,562,Crew_Quarters
000135,Vacuum_Sealed_Tools,41.1,25.0,16.9,8.68,35,N/A,3988,Storage_Bay
000136,Tool_Kit,19.0,18.6,15.9,6.4,94,N/A,92,Storage_Bay
000137,Antibiotic_Supply,15.8,24.1,15.7,2.99,40,2026-09-08,214,Lab
000138,EV_Suit_Battery,44.5,12.7,43.0,12.15,68,N/A,377,Airlock
000139,Thruster_Fuel,47.9,46.9,34.3,38.53,86,N/A,579,Storage_Bay
000140,Circuit_Board,36.7,18.9,19.8,6.87,70,N/A,1036,Storage_Bay
000141,Medical_Scanner,43.4,36.5,30.6,24.24,60,2026-08-25,96,Medical_Bay
000142,Laptop,32.8,15.3,23.6,5.92,87,N/A,2829,Crew_Quarters
000143,Gyroscope_Module,25.4,11.1,41.2,5.81,53,N/A,2672,Engineering_Bay
000144,Battery_Pack,30.4,28.5,15.8,6.84,100,N/A,293,External_Storage
000145,Lab_Microscope,45.8,31.8,34.4,25.05,97,N/A,3691,Lab
000146,Waste_Management_Kit,11.1,21.9,20.5,5.1,16,N/A,78,Sanitation_Bay
000147,Medical_Scanner,40.9,23.7,19.7,9.55,59,2026-05-15,81,Lab
000148,Helmet_Visor,43.4,25.6,35.4,19.67,51,N/A,92,Storage_Bay
000149,Tether_Reel,29.7,18.8,34.2,9.55,100,N/A,2558,External_Storage
000150,EV_Suit_Battery,45.5,17.1,32.6,12.68,31,N/A,366,Airlock
000151,Helmet_Visor,24.8,21.6,27.2,7.29,73,N/A,3584,Storage_Bay
000152,Thruster_Fuel,38.6,31.7,17.5,10.71,61,N/A,4526,Engine_Bay
000153,Protein_Bars,37.4,34.4,14.3,9.2,65,N/A,4174,Storage_Bay
000154,Cooling_System,42.7,34.6,47.5,35.09,77,N/A,1251,Engineering_Bay
000155,Food_Packet,12.3,16.7,29.8,5.6,97,2025-08-31,54,Crew_Quarters
000156,CO2_Scrubber,46.0,49.9,40.4,46.37,33,N/A,288,Engineering_Bay
000157,Laptop,29.8,14.9,17.8,3.95,98,N/A,1994,Crew_Quarters
000158,First_Aid_Kit,27.8,13.9,26.5,6.0,24,N/A,64,Crew_Quarters
000159,Space_Suit,26.0,14.4,43.3,8.11,70,N/A,4263,Storage_Bay
000160,Scientific_Sensor,36.7,12.0,38.1,8.39,86,N/A,595,Cockpit
000161,Tether_Reel,38.4,21.8,26.0,10.88,5,N/A,1666,External_Storage
000162,EV_Suit_Battery,38.1,45.6,11.0,9.56,25,N/A,414,Airlock
000163,Helmet_Visor,26.9,23.4,19.6,6.17,22,N/A,2698,Crew_Quarters
000164,Radiation_Shield,40.7,41.6,30.2,25.57,58,N/A,1171,Engineering_Bay
000165,Waste_Management_Kit,14.0,10.2,13.6,4.6,7,N/A,74,Engineering_Bay
000166,Communication_Device,18.9,25.7,38.6,9.37,24,N/A,1659,Crew_Quarters
000167,Research_Samples,22.7,15.5,16.4,3.7,87,N/A,520,Lab
000168,Emergency_Beacon,15.9,43.2,29.9,10.27,1,N/A,3592,Cockpit
000169,3D_Printer,14.1,47.1,15.8,5.25,89,N/A,1620,Engineering_Bay
000170,LED_Work_Light,16.1,32.9,12.6,3.34,52,N/A,4018,Maintenance_Bay
000171,Emergency_Beacon,16.7,19.9,40.7,6.76,30,N/A,439,Cockpit
000172,Cooling_System,10.4,34.4,30.3,5.42,31,N/A,2206,Power_Bay
000173,Thruster_Fuel,48.9,27.0,29.5,19.47,50,N/A,4378,Engine_Bay
000174,Cooling_System,10.4,36.3,49.9,9.42,5,N/A,2632,Power_Bay
000175,Protein_Bars,40.7,27.7,33.1,18.66,94,N/A,715,Crew_Quarters
000176,Emergency_Beacon,43.7,44.6,39.8,38.79,75,N/A,4699,Command_Center
000177,Medical_Scanner,25.8,46.8,46.6,28.13,28,2026-01-29,9,Medical_Bay
000178,Pressure_Regulator,29.9,17.0,33.2,8.44,60,N/A,1206,Airlock
000179,CO2_Scrubber,35.5,15.7,48.4,13.49,72,N/A,865,Engineering_Bay
000180,Thruster_Fuel,44.3,18.0,31.6,12.6,10,N/A,2161,Engine_Bay
000181,Antibiotic_Supply,30.5,38.5,13.4,7.87,36,2027-01-31,4850,Lab
000182,Food_Packet,10.8,11.7,25.4,3.7,13,2026-06-01,40,Crew_Quarters
000183,Pressure_Regulator,46.8,20.5,32.9,15.78,96,N/A,4088,Engineering_Bay
000184,Navigation_Module,10.6,40.9,44.2,9.58,29,N/A,3320,Command_Center
000185,Tether_Reel,17.7,49.2,40.5,17.63,41,N/A,2777,External_Storage
000186,Water_Bottle,39.9,32.4,34.5,22.3,64,N/A,3005,Storage_Bay
000187,Seed_Packets,17.1,11.3,22.5,6.9,82,N/A,71,Lab
000188,Radiation_Shield,19.5,37.2,25.2,9.14,12,N/A,1367,Storage_Bay
000189,Pressure_Regulator,28.3,32.4,15.5,7.11,89,N/A,419,Engineering_Bay
000190,Navigation_Module,24.3,14.9,16.0,2.9,32,N/A,4100,Command_Center
000191,EV_Suit_Battery,35.6,33.2,16.2,9.57,19,N/A,889,Storage_Bay
000192,EV_Suit_Battery,30.3,42.4,13.3,8.54,16,N/A,528,Storage_Bay
000193,Medical_Scanner,24.8,14.5,11.1,2.0,74,2026-03-04,51,Lab
000194,Seed_Packets,10.5,12.7,10.1,2.9,99,N/A,84,Greenhouse
000195,Water_Bottle,44.1,30.7,11.2,7.58,25,N/A,885,Storage_Bay
000196,EV_Suit_Battery,17.9,30.2,26.8,7.24,37,N/A,719,Airlock
000197,Water_Bottle,20.8,14.4,44.0,6.59,63,N/A,3390,Storage_Bay
000198,Scientific_Sensor,47.7,10.7,40.5,10.34,75,N/A,2817,Cockpit
000199,Microgravity_Lab_Kit,10.4,15.5,21.4,5.5,100,N/A,33,Lab
000200,Circuit_Board,32.9,38.1,24.9,15.61,24,N/A,3805,Engineering_Bay
000201,Oxygen_Cylinder,30.0,28.7,64.9,47.8,24,N/A,3880,Crew_Quarters
000202,Tool_Kit,15.4,11.4,28.8,4.1,10,N/A,55,Storage_Bay
000203,Gyroscope_Module,33.5,26.4,37.7,16.67,96,N/A,4224,Engineering_Bay
000204,Cooling_System,40.7,35.8,39.2,28.56,85,N/A,556,Engineering_Bay
000205,Lab_Microscope,38.2,36.1,26.4,18.2,81,N/A,2713,Lab
000206,Gyroscope_Module,18.1,16.0,48.2,6.98,60,N/A,3477,Engineering_Bay
000207,First_Aid_Kit,19.1,11.3,15.4,1.8,44,N/A,41,Crew_Quarters
000208,Pressure_Regulator,26.6,27.5,23.1,8.45,30,N/A,2389,Engineering_Bay
000209,Waste_Management_Kit,19.7,29.7,18.5,7.0,2,N/A,19,Sanitation_Bay
000210,Water_Purification_Unit,22.3,38.3,40.0,17.08,55,N/A,1818,Life_Support
000211,Gyroscope_Module,46.3,27.7,16.5,10.58,72,N/A,1874,Engineering_Bay
000212,Vacuum_Sealed_Tools,37.5,14.2,45.8,12.19,100,N/A,3873,Storage_Bay
000213,Oxygen_Cylinder,20.9,28.8,92.6,26.3,74,N/A,2297,Crew_Quarters
000214,Waste_Management_Kit,27.2,11.5,10.7,1.0,49,N/A,65,Sanitation_Bay
000215,Handheld_Spectrometer,36.8,46.2,22.0,18.7,49,N/A,3235,Engineering_Bay
000216,Cooling_System,45.9,12.9,16.0,4.74,64,N/A,459,Power_Bay
000217,EV_Suit_Battery,28.9,10.8,28.7,4.48,80,N/A,163,Airlock
000218,Navigation_Module,16.4,41.5,37.8,12.86,47,N/A,2565,Cockpit
000219,Seed_Packets,24.7,17.0,18.3,5.2,70,N/A,1,Greenhouse
000220,Protein_Bars,12.6,45.7,38.3,11.03,81,N/A,2818,Crew_Quarters
000221,Circuit_Board,29.8,43.9,27.5,17.99,32,N/A,2607,Engineering_Bay
000222,Seed_Packets,13.9,21.5,18.8,6.5,25,N/A,99,Lab
000223,Cooling_System,29.2,17.6,11.1,2.85,5,N/A,4471,Engineering_Bay
000224,3D_Printer,49.3,48.0,41.1,48.63,81,N/A,4117,Engineering_Bay
000225,Asteroid_Sample_Container,30.0,18.3,13.6,3.1,43,N/A,3014,Storage_Bay
000226,Radiation_Shield,35.9,20.8,32.9,12.28,1,N/A,2664,Storage_Bay
000227,Food_Packet,20.9,21.0,18.0,8.7,61,2025-08-15,14,Crew_Quarters
000228,Navigation_Module,30.7,44.2,12.0,8.14,67,N/A,4763,Command_Center
000229,Helmet_Visor,49.8,43.5,18.3,19.82,23,N/A,2294,Storage_Bay
000230,Scientific_Sensor,35.2,45.3,12.3,9.81,80,N/A,4124,Lab
000231,Tool_Kit,27.7,10.6,12.9,4.4,13,N/A,4,Maintenance_Bay
000232,Handheld_Spectrometer,33.0,12.4,35.1,7.18,70,N/A,375,Lab
000233,Research_Samples,20.9,25.3,24.4,3.2,9,N/A,4152,Lab
000234,Gyroscope_Module,20.0,16.5,29.8,4.92,52,N/A,15,Cockpit
000235,Battery_Pack,47.0,35.2,31.3,25.89,88,N/A,873,External_Storage
000236,Thruster_Fuel,44.8,42.9,47.6,45.74,9,N/A,2455,Engine_Bay
000237,Medical_Scanner,45.0,18.5,40.7,16.94,77,2027-02-21,94,Medical_Bay
000238,Navigation_Module,19.4,28.9,15.2,4.26,92,N/A,334,Cockpit
000239,Antibiotic_Supply,31.0,48.2,37.6,28.09,64,2025-07-09,2980,Lab
000240,Space_Suit,46.7,41.7,30.6,29.8,69,N/A,4289,Storage_Bay
000241,Circuit_Board,23.1,19.7,34.2,7.78,60,N/A,1884,Engineering_Bay
000242,3D_Printer,31.4,46.0,36.7,26.5,55,N/A,3025,Lab
000243,CO2_Scrubber,34.8,17.2,22.6,6.76,89,N/A,758,Engineering_Bay
000244,Waste_Management_Kit,18.9,15.6,15.1,1.5,97,N/A,71,Sanitation_Bay
000245,Circuit_Board,18.3,40.9,41.3,15.46,26,N/A,512,Storage_Bay
000246,Laptop,28.2,32.1,41.7,18.87,78,N/A,998,Command_Center
000247,Protein_Bars,23.1,44.9,37.5,19.45,21,N/A,3521,Crew_Quarters
000248,Tether_Reel,41.4,12.0,43.0,10.68,8,N/A,2883,Airlock
000249,Radiation_Shield,14.7,46.2,18.4,6.25,1,N/A,462,Storage_Bay
000250,Research_Samples,23.7,26.5,12.6,3.9,45,N/A,3908,Storage_Bay
000251,Communication_Device,13.7,31.9,40.9,8.94,99,N/A,4994,Crew_Quarters
000252,Food_Packet,25.9,19.3,11.3,8.3,67,2026-01-14,73,Crew_Quarters
000253,Water_Bottle,32.8,39.6,24.6,15.98,38,N/A,3113,Storage_Bay
000254,Handheld_Spectrometer,41.3,49.5,33.8,34.55,95,N/A,1150,Lab
000255,LED_Work_Light,24.7,28.0,22.8,7.88,16,N/A,4393,Maintenance_Bay
000256,Antibiotic_Supply,25.7,29.7,18.0,6.87,62,2025-07-12,8,Medical_Bay
000257,Vacuum_Sealed_Tools,12.8,24.3,22.7,3.53,11,N/A,1504,Maintenance_Bay
000258,Gyroscope_Module,10.6,16.7,35.6,3.15,65,N/A,2526,Engineering_Bay
000259,LED_Work_Light,21.8,27.4,29.8,8.9,24,N/A,1277,Maintenance_Bay
000260,CO2_Scrubber,26.5,21.8,39.6,11.44,47,N/A,214,Engineering_Bay
000261,Tool_Kit,26.1,15.1,27.1,6.7,60,N/A,7,Storage_Bay
000262,First_Aid_Kit,13.4,23.9,10.3,3.3,4,N/A,70,Medical_Bay
000263,Radiation_Shield,32.2,39.2,30.5,19.25,38,N/A,4925,Engineering_Bay
000264,Asteroid_Sample_Container,22.5,24.0,29.6,6.1,49,N/A,991,Lab
000265,Battery_Pack,47.7,17.4,25.6,10.62,17,N/A,151,Power_Bay
000266,Circuit_Board,28.4,31.8,35.2,15.89,33,N/A,1664,Storage_Bay
000267,EV_Suit_Battery,20.1,37.5,13.2,4.97,80,N/A,797,Airlock
000268,Fire_Extinguisher,17.4,43.3,49.2,18.53,55,N/A,3116,Engineering_Bay
000269,Space_Suit,47.8,26.7,10.7,6.83,49,N/A,3265,Storage_Bay
000270,Radiation_Shield,13.9,20.3,28.2,3.98,31,N/A,305,Engineering_Bay
000271,Radiation_Shield,14.0,41.7,21.5,6.28,48,N/A,2373,Engineering_Bay
000272,Solar_Panel,75.0,82.4,3.5,16.0,77,N/A,1964,External_Storage
000273,Protein_Bars,48.5,12.5,28.2,8.55,31,N/A,4349,Crew_Quarters
000274,Microgravity_Lab_Kit,23.3,18.5,10.2,4.9,35,N/A,66,Crew_Quarters
000275,Radiation_Shield,36.6,35.5,10.7,6.95,90,N/A,1145,Storage_Bay
000276,EV_Suit_Battery,46.4,29.1,21.0,14.18,63,N/A,776,Storage_Bay
000277,Fire_Extinguisher,49.9,45.2,37.5,42.29,51,N/A,2367,Crew_Quarters
000278,Tether_Reel,14.6,13.0,12.5,1.19,40,N/A,3828,External_Storage
000279,Thruster_Fuel,18.2,11.0,31.1,3.11,69,N/A,4049,Engine_Bay
000280,Oxygen_Cylinder,16.1,17.4,92.8,15.9,61,N/A,56,Crew_Quarters
000281,Water_Purification_Unit,37.9,47.6,24.3,21.92,21,N/A,1523,Life_Support
000282,Tether_Reel,37.6,38.6,20.0,14.51,42,N/A,182,Airlock
000283,First_Aid_Kit,12.9,25.7,11.3,4.2,30,N/A,60,Crew_Quarters
000284,Medical_Scanner,25.7,49.2,35.6,22.51,32,2025-12-09,19,Lab
000285,First_Aid_Kit,16.1,10.4,22.1,3.8,87,N/A,57,Medical_Bay
000286,Radiation_Shield,19.0,36.9,48.2,16.9,97,N/A,1317,Engineering_Bay
000287,Asteroid_Sample_Container,15.9,29.8,12.6,8.9,89,N/A,670,Lab
000288,Medical_Scanner,20.9,10.7,24.8,2.77,15,2025-07-16,9,Medical_Bay
000289,Protein_Bars,22.2,12.1,24.1,3.24,75,N/A,1519,Storage_Bay
000290,Communication_Device,45.4,40.6,49.7,45.8,2,N/A,2166,Crew_Quarters
000291,CO2_Scrubber,27.5,11.3,48.8,7.58,86,N/A,326,Life_Support
000292,Handheld_Spectrometer,25.6,32.7,13.8,5.78,32,N/A,4340,Lab
000293,Thruster_Fuel,30.8,30.6,46.0,21.68,82,N/A,4675,Storage_Bay
000294,Medical_Scanner,44.1,31.1,33.8,23.18,26,2027-04-12,79,Lab
000295,Emergency_Beacon,21.8,37.4,16.9,6.89,18,N/A,606,Cockpit
000296,Circuit_Board,37.4,18.8,45.6,16.03,96,N/A,717,Storage_Bay
000297,Navigation_Module,25.0,16.7,27.6,5.76,39,N/A,3295,Command_Center
000298,Thruster_Fuel,34.0,44.0,15.5,11.59,100,N/A,3609,Engine_Bay
000299,Seed_Packets,22.7,22.0,20.8,8.7,12,N/A,72,Greenhouse
000300,Research_Samples,22.0,16.7,26.6,6.3,39,N/A,334,Storage_Bay
000301,First_Aid_Kit,11.5,15.4,15.9,3.0,36,N/A,18,Crew_Quarters
000302,Lab_Microscope,38.6,10.0,39.6,7.64,71,N/A,1436,Lab
000303,Water_Purification_Unit,33.4,37.9,21.7,13.73,82,N/A,3121,Crew_Quarters
000304,Food_Packet,19.0,25.0,15.9,5.2,70,2026-08-02,44,Storage_Bay
000305,Tool_Kit,22.4,19.3,21.3,1.8,46,N/A,58,Storage_Bay
000306,Emergency_Beacon,33.9,27.3,33.0,15.27,24,N/A,3525,Cockpit
000307,Food_Packet,11.8,26.8,11.2,8.5,74,2026-07-09,39,Storage_Bay
000308,Lab_Microscope,30.4,16.6,21.1,5.32,11,N/A,3162,Lab
000309,Food_Packet,11.4,20.8,12.4,1.7,95,2026-06-10,59,Crew_Quarters
000310,Vacuum_Sealed_Tools,36.3,36.5,17.8,11.79,6,N/A,1581,Storage_Bay
000311,3D_Printer,30.8,10.6,20.0,3.26,44,N/A,3529,Engineering_Bay
000312,CO2_Scrubber,19.7,12.8,20.9,2.64,53,N/A,694,Engineering_Bay
